TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
AR	3	1.9014208336986984e-09	82.41110550991239	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	AR 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	27.958684355667536
PPARG	3	7.618739727935337e-09	77.09332827754801	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	PPARG 20887899 ChIP-Seq 3T3-L1 Mouse	24.037303932036092
SPI1	3	9.644382128706375e-08	62.89811171162587	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	SPI1 23547873 ChIP-Seq NB4 Human	27.18355888210239
CEBPD	3	2.2349167891772616e-07	73.27147200043699	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CEBPD 21427703 ChIP-Seq 3T3-L1 Mouse	8.047704014405477
TP53	3	2.5370322265360894e-07	58.48387320343003	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	TP53 23651856 ChIP-Seq MEFs Mouse	11.362390738815131
IRF8	3	4.872473356348585e-06	55.66181399289476	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	IRF8 27001747 Chip-Seq BMDM Mouse	10.210099928226198
CEBPB	3	6.328897957575221e-06	47.83263606620523	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CEBPB 21427703 ChIP-Seq 3T3-L1 Mouse	21.021602030651184
STAT3	3	6.837765527284005e-06	88.01232611264042	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	STAT3 20064451 ChIP-Seq CD4+T Mouse	26.859533522095845
SMAD4	3	7.776614597173514e-06	41.500646181274675	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	SMAD4 21799915 ChIP-Seq A2780 Human	10.805619850036267
FOXA2	3	7.909066812724785e-06	39.08730296570664	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	FOXA2 19822575 ChIP-Seq HepG2 Human	5.901865094456453
TCF7L2	3	1.067255886418153e-05	151.5356361741005	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	TCF7L2 21901280 ChIP-Seq H4IIE Rat	6.846001125979356
TCF3	3	3.0973217637957924e-05	51.33491879754446	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	TCF3 ENCODE	10.846415903046166
ESR1	3	3.4011939670653256e-05	41.74859384594094	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	ESR1 22446102 ChIP-Seq UTERUS Mouse	15.569212783167654
RELA	3	0.00010270325278252761	37.08788485449572	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	RELA 24523406 ChIP-Seq FIBROSARCOMA Human	8.010013202976346
NANOG	3	0.00011111745419900993	32.46566102076556	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	NANOG 18692474 ChIP-Seq MEFs Mouse	23.161197682752576
VDR	3	0.0001114198532233594	290.05279964440666	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	VDR 24763502 ChIP-Seq THP-1 Human	15.67912289949458
GATA2	3	0.000180421365161182	38.12248191855817	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	GATA2 21186366 ChIP-Seq BM-HSCs Mouse	17.66258723871959
CREB1	3	0.00042994200262916094	35.0290834266627	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	CREB1 20920259 ChIP-Seq GC1-SPG Mouse	12.335979505597777
POU5F1	3	0.0006688666066904177	23.440004881779345	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	POU5F1 18347094 ChIP-ChIP MESCs Mouse	10.706126425060564
GATA1	3	0.0007160551125236227	43.447215004937185	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human	14.586151666586177
FLI1	3	0.0008601814464780754	26.321879809212092	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	FLI1 21867929 ChIP-Seq TH2 Mouse	11.668395860866983
EGR1	3	0.0011026851397419035	40.736958583939334	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	EGR1 CHEA	10.580073592597257
E2F1	3	0.0014698579217035926	23.99333998815178	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	E2F1 21310950 ChIP-Seq MCF-7 Human	9.326533393622006
ERG	3	0.0016450393980118065	26.27787700277191	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	ERG 20887958 ChIP-Seq HPC-7 Mouse	6.42553699598463
PPARD	3	0.0065079064374223535	33.71572144348522	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	PPARD 23208498 ChIP-Seq MDA-MB-231 Human	5.635059942477822
ETS1	3	0.006847465531068724	22.670063143093774	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	ETS1 22383799 ChIP-Seq G1ME Mouse	5.3002108930690035
MYC	3	0.009734608176505831	45.068620329131086	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	MYC 27129775 Chip-Seq CORNEA Mouse	12.696328735786345
NFE2L2	3	0.015287521358957591	15.89062590724728	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	NFE2L2 22581777 ChIP-Seq LYMPHOBLASTOID Human	4.354573540499686
NFYA	3	0.03495276960753074	21.268472427628502	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	NFYA 21822215 ChIP-Seq K562 Human	2.5481129616585356
E2F4	3	0.03802962091740848	38.81936703082998	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	E2F4 17652178 ChIP-ChIP JURKAT Human	4.233644817155843
BCL3	3	0.04562322063635883	21.268472427628502	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	BCL3 23251550 ChIP-Seq MUSCLE Mouse	2.212282132969243
YY1	3	0.10454529048035573	8.66124506385244	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	YY1 23942234 ChIP-Seq MYOBLASTS AND MYOTUBES Mouse	4.420438514220977
FOXA1	2	5.459014828365208e-12	119.3972177744689	ChEA_2022;TRRUST_Transcription_Factors_2019	FOXA1 33576154 ChIP-Seq Human Lung ProstateCancer	44.765123507628026
NR3C1	2	4.867524637664014e-11	107.4028863574285	ChEA_2022;TRRUST_Transcription_Factors_2019	NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	19.744160616525335
LEF1	2	3.429898622252528e-09	87.79336776478273	ChEA_2022;TRRUST_Transcription_Factors_2019	LEF1 29337183 ChIP-Seq mESC Mouse Stem	9.82399190032237
MITF	2	1.2248925074256949e-08	66.34379305821356	ChEA_2022;TRRUST_Transcription_Factors_2019	MITF 21258399 ChIP-Seq MELANOMA Human	8.546914752256882
SALL4	2	1.1005393511267282e-07	103.57199599939335	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SALL4 18804426 ChIP-ChIP XEN Mouse	15.42030325093442
SOX2	2	2.623578601953875e-07	71.26710918601772	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SOX2 20726797 ChIP-Seq SW620 Human	34.16554421393568
CTNNB1	2	4.455729299453565e-07	82.88509576126242	ChEA_2022;TRRUST_Transcription_Factors_2019	CTNNB1 20460455 ChIP-Seq HCT116 Human	7.924787234934858
SMARCA4	2	5.811453290038548e-07	56.57448598608335	ChEA_2022;TRRUST_Transcription_Factors_2019	SMARCA4 23332759 ChIP-Seq OLIGODENDROCYTES Mouse	9.895781030759968
HSF1	2	5.851598047094488e-07	88.96564516996114	ChEA_2022;TRRUST_Transcription_Factors_2019	HSF1 23293686 ChIP-Seq STHDH STRIATAL Mouse	6.999719683452257
RUNX1	2	8.232348566317944e-07	45.83910489168657	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	RUNX1 21571218 ChIP-Seq MEGAKARYOCYTES Human	25.13150473630076
FOXM1	2	1.945071295772211e-06	54.4430551752802	ChEA_2022;TRRUST_Transcription_Factors_2019	FOXM1 26456572 ChIP-Seq MCF-7 Human	10.134748008901745
SOX9	2	2.0351268192873023e-06	59.83540510853064	ChEA_2022;TRRUST_Transcription_Factors_2019	SOX9 24532713 ChIP-Seq HFSC Mouse	12.314441379684693
TCF4	2	6.085717512431842e-06	39.34427417474398	ChEA_2022;TRRUST_Transcription_Factors_2019	TCF4 23295773 ChIP-Seq U87 Human	9.38023488656343
STAT5A	2	7.31135465176888e-06	43.15052860151226	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	STAT5A 24692510 ChIP-Seq Epithelium Mouse Mammary	5.199313110285633
RUNX2	2	7.4512629546148614e-06	35.446267076358225	ChEA_2022;TRRUST_Transcription_Factors_2019	RUNX2 24655370 ChIP-Seq MC3T3E1 Mouse Bone	11.51694847805268
STAT1	2	7.87699149309934e-06	36.75322694924848	ChEA_2022;TRRUST_Transcription_Factors_2019	STAT1 19122651 ChIP-Seq HeLaS3 Human CervicalCancer	9.710868757839977
NFKB1	2	1.3147407494247502e-05	33.56038525071329	ChEA_2022;TRRUST_Transcription_Factors_2019	NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	5.606184101176064
HNF1A	2	3.385502688336617e-05	31.45467349510002	ChEA_2022;TRRUST_Transcription_Factors_2019	HNF1A 27111144 ChIP-Seq CD8+TCells Mouse Blood Lymphoma	5.426361016635512
FOXO1	2	3.4011939670653256e-05	37.71623939185712	ChEA_2022;TRRUST_Transcription_Factors_2019	FOXO1 25302145 ChIP-Seq T-LYMPHOCYTE Mouse	9.11346002532766
TP63	2	4.11129718673327e-05	30.91070784099936	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	TP63 23658742 ChIP-Seq EP156T Human	7.670911464925126
WT1	2	7.488878352036493e-05	66.64473547254339	ChEA_2022;TRRUST_Transcription_Factors_2019	WT1 25993318 ChIP-Seq PODOCYTE Human	11.729381106121041
SOX17	2	0.0001114198532233594	33.71572144348522	ChEA_2022;TRRUST_Transcription_Factors_2019	SOX17 20123909 ChIP-Seq XEN Mouse	4.720031587734696
POU3F2	2	0.0001772250285335966	45.36630030344951	ChEA_2022;TRRUST_Transcription_Factors_2019	POU3F2 20337985 ChIP-ChIP 501MEL Human	4.518469114803253
EZH2	2	0.0002772505510064898	31.61334886705777	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	EZH2 27294783 Chip-Seq NPCs Mouse	4.418746962357563
IRF1	2	0.00036814708668322005	57.553309717085554	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	IRF1 ENCODE	8.405390030727087
SOX6	2	0.00043983217125977104	83.1016220368009	ChEA_2022;TRRUST_Transcription_Factors_2019	SOX6 21985497 ChIP-Seq MYOTUBES Mouse	4.1237071773542375
CDX2	2	0.0004755493925735724	26.321879809212092	ChEA_2022;TRRUST_Transcription_Factors_2019	CDX2 21402776 ChIP-Seq INTESTINAL-VILLUS Mouse	8.275868484864215
TAL1	2	0.0007380349809447272	38.81936703082998	ChEA_2022;TRRUST_Transcription_Factors_2019	TAL1 21186366 ChIP-Seq BM-HSCs Mouse	15.165109092791315
FOXO3	2	0.0008084498315503669	32.07964192266426	ChEA_2022;TRRUST_Transcription_Factors_2019	FOXO3 23340844 ChIP-Seq DLD1 Human	5.569114733471161
CTCF	2	0.000869175831377033	18.619980473916307	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	CTCF 31629814 ChIP-Seq Hepatocytes Mouse Tyrosinemia	11.278181116520969
